"go_id","go_name","root_node"
"GO:0004190","aspartic-type endopeptidase activity","molecular_function"
"GO:0005576","extracellular region","cellular_component"
"GO:0009505","plant-type cell wall","cellular_component"
"GO:0004871",NA,NA
"GO:0006952","defense response","biological_process"
"GO:0007165","signal transduction","biological_process"
"GO:0030001","metal ion transport","biological_process"
"GO:0030003","cellular cation homeostasis","biological_process"
"GO:0044237","cellular metabolic process","biological_process"
"GO:0003723","RNA binding","molecular_function"
"GO:0004519","endonuclease activity","molecular_function"
"GO:0005739","mitochondrion","cellular_component"
"GO:0009062","fatty acid catabolic process","biological_process"
"GO:0009451","RNA modification","biological_process"
"GO:0090305","nucleic acid phosphodiester bond hydrolysis","biological_process"
"GO:0000165","MAPK cascade","biological_process"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","biological_process"
"GO:0006351","transcription, DNA-templated","biological_process"
"GO:0006355","regulation of transcription, DNA-templated","biological_process"
"GO:0006499","N-terminal protein myristoylation","biological_process"
"GO:0009611","response to wounding","biological_process"
"GO:0009612","response to mechanical stimulus","biological_process"
"GO:0009693","ethylene biosynthetic process","biological_process"
"GO:0009738","abscisic acid-activated signaling pathway","biological_process"
"GO:0009814","defense response, incompatible interaction","biological_process"
"GO:0009873","ethylene-activated signaling pathway","biological_process"
"GO:0010228","vegetative to reproductive phase transition of meristem","biological_process"
"GO:0017148","negative regulation of translation","biological_process"
"GO:0031124","mRNA 3'-end processing","biological_process"
"GO:0042742","defense response to bacterium","biological_process"
"GO:0043928","exonucleolytic catabolism of deadenylated mRNA","biological_process"
"GO:0044702",NA,NA
"GO:0051704","multi-organism process","biological_process"
"GO:0090503","RNA phosphodiester bond hydrolysis, exonucleolytic","biological_process"
"GO:0000932","P-body","cellular_component"
"GO:0030015","CCR4-NOT core complex","cellular_component"
"GO:0003676","nucleic acid binding","molecular_function"
"GO:0004535","poly(A)-specific ribonuclease activity","molecular_function"
"GO:0006357","regulation of transcription by RNA polymerase II","biological_process"
"GO:0006366","transcription by RNA polymerase II","biological_process"
"GO:0045893","positive regulation of transcription, DNA-templated","biological_process"
"GO:0043565","sequence-specific DNA binding","molecular_function"
"GO:0046982","protein heterodimerization activity","molecular_function"
"GO:0016874","ligase activity","molecular_function"
"GO:0006139","nucleobase-containing compound metabolic process","biological_process"
"GO:0043170","macromolecule metabolic process","biological_process"
"GO:0044249","cellular biosynthetic process","biological_process"
"GO:0080167","response to karrikin","biological_process"
"GO:0008440","inositol-1,4,5-trisphosphate 3-kinase activity","molecular_function"
"GO:0007275","multicellular organism development","biological_process"
"GO:0016310","phosphorylation","biological_process"
"GO:0050789","regulation of biological process","biological_process"
"GO:0003954","NADH dehydrogenase activity","molecular_function"
"GO:0042803","protein homodimerization activity","molecular_function"
"GO:0051536","iron-sulfur cluster binding","molecular_function"
"GO:0044459",NA,NA
"GO:0048226","Casparian strip","cellular_component"
"GO:0007043","cell-cell junction assembly","biological_process"
"GO:0009742","brassinosteroid mediated signaling pathway","biological_process"
"GO:0042545","cell wall modification","biological_process"
"GO:0097306","cellular response to alcohol","biological_process"
"GO:0004675","transmembrane receptor protein serine/threonine kinase activity","molecular_function"
"GO:0005773","vacuole","cellular_component"
"GO:0009627","systemic acquired resistance","biological_process"
"GO:0009737","response to abscisic acid","biological_process"
"GO:0031347","regulation of defense response","biological_process"
"GO:0044710",NA,NA
"GO:1900459","positive regulation of brassinosteroid mediated signaling pathway","biological_process"
"GO:0004175","endopeptidase activity","molecular_function"
"GO:0016929","SUMO-specific protease activity","molecular_function"
"GO:0016926","protein desumoylation","biological_process"
"GO:0000279","M phase","biological_process"
"GO:0000280","nuclear division","biological_process"
"GO:0000911","cytokinesis by cell plate formation","biological_process"
"GO:0006306","DNA methylation","biological_process"
"GO:0006346","DNA methylation-dependent heterochromatin assembly","biological_process"
"GO:0007000","nucleolus organization","biological_process"
"GO:0007267","cell-cell signaling","biological_process"
"GO:0008283","cell population proliferation","biological_process"
"GO:0009616","virus induced gene silencing","biological_process"
"GO:0009909","regulation of flower development","biological_process"
"GO:0010103","stomatal complex morphogenesis","biological_process"
"GO:0010267","production of ta-siRNAs involved in RNA interference","biological_process"
"GO:0016572","histone phosphorylation","biological_process"
"GO:0031048","chromatin silencing by small RNA","biological_process"
"GO:0035196","production of miRNAs involved in gene silencing by miRNA","biological_process"
"GO:0043433","negative regulation of DNA-binding transcription factor activity","biological_process"
"GO:0048449","floral organ formation","biological_process"
"GO:0048563","post-embryonic animal organ morphogenesis","biological_process"
"GO:0048645","animal organ formation","biological_process"
"GO:0051225","spindle assembly","biological_process"
"GO:0051276","chromosome organization","biological_process"
"GO:0051322","anaphase","biological_process"
"GO:0051567","histone H3-K9 methylation","biological_process"
"GO:0090377","seed trichome initiation","biological_process"
"GO:0004602","glutathione peroxidase activity","molecular_function"
"GO:0005544","calcium-dependent phospholipid binding","molecular_function"
"GO:0016740","transferase activity","molecular_function"
"GO:0005618","cell wall","cellular_component"
"GO:0005783","endoplasmic reticulum","cellular_component"
"GO:0006979","response to oxidative stress","biological_process"
"GO:0010075","regulation of meristem growth","biological_process"
"GO:0016192","vesicle-mediated transport","biological_process"
"GO:0023052","signaling","biological_process"
"GO:0034976","response to endoplasmic reticulum stress","biological_process"
"GO:0051649","establishment of localization in cell","biological_process"
"GO:0055114","oxidation-reduction process","biological_process"
"GO:0098869","cellular oxidant detoxification","biological_process"
"GO:2000026","regulation of multicellular organismal development","biological_process"
"GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation","biological_process"
"GO:0007155","cell adhesion","biological_process"
"GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","biological_process"
"GO:0009086","methionine biosynthetic process","biological_process"
"GO:0010090","trichome morphogenesis","biological_process"
"GO:0045010","actin nucleation","biological_process"
"GO:0048527","lateral root development","biological_process"
"GO:0048589","developmental growth","biological_process"
"GO:0048765","root hair cell differentiation","biological_process"
"GO:0050665","hydrogen peroxide biosynthetic process","biological_process"
"GO:0071555","cell wall organization","biological_process"
"GO:0004674","protein serine/threonine kinase activity","molecular_function"
"GO:0003729","mRNA binding","molecular_function"
"GO:0005849","mRNA cleavage factor complex","cellular_component"
"GO:0006378","mRNA polyadenylation","biological_process"
"GO:0008380","RNA splicing","biological_process"
"GO:0006813","potassium ion transport","biological_process"
"GO:0009987","cellular process","biological_process"
"GO:1902600","proton transmembrane transport","biological_process"
"GO:0031969","chloroplast membrane","cellular_component"
"GO:0015386","potassium:proton antiporter activity","molecular_function"
"GO:0004615","phosphomannomutase activity","molecular_function"
"GO:0006094","gluconeogenesis","biological_process"
"GO:0006487","protein N-linked glycosylation","biological_process"
"GO:0007010","cytoskeleton organization","biological_process"
"GO:0009165","nucleotide biosynthetic process","biological_process"
"GO:0009298","GDP-mannose biosynthetic process","biological_process"
"GO:0010498","proteasomal protein catabolic process","biological_process"
"GO:0019307","mannose biosynthetic process","biological_process"
"GO:0019853","L-ascorbic acid biosynthetic process","biological_process"
"GO:0019932","second-messenger-mediated signaling","biological_process"
"GO:0045047","protein targeting to ER","biological_process"
"GO:0000045","autophagosome assembly","biological_process"
"GO:0000087","mitotic M phase","biological_process"
"GO:0000422","autophagy of mitochondrion","biological_process"
"GO:0006501","C-terminal protein lipidation","biological_process"
"GO:0006612","protein targeting to membrane","biological_process"
"GO:0007067",NA,NA
"GO:0031669","cellular response to nutrient levels","biological_process"
"GO:0033554","cellular response to stress","biological_process"
"GO:0042594","response to starvation","biological_process"
"GO:0044248","cellular catabolic process","biological_process"
"GO:0044804","autophagy of nucleus","biological_process"
"GO:0051697","protein delipidation","biological_process"
"GO:0000775","chromosome, centromeric region","cellular_component"
"GO:0005775","vacuolar lumen","cellular_component"
"GO:0005776","autophagosome","cellular_component"
"GO:0004197","cysteine-type endopeptidase activity","molecular_function"
"GO:0016807","cysteine-type carboxypeptidase activity","molecular_function"
"GO:0019786","Atg8-specific protease activity","molecular_function"
"GO:0030247","polysaccharide binding","molecular_function"
"GO:0042973","glucan endo-1,3-beta-D-glucosidase activity","molecular_function"
"GO:0005737","cytoplasm","cellular_component"
"GO:0046658","anchored component of plasma membrane","cellular_component"
"GO:0005975","carbohydrate metabolic process","biological_process"
"GO:0006996","organelle organization","biological_process"
"GO:0010468","regulation of gene expression","biological_process"
"GO:0034641","cellular nitrogen compound metabolic process","biological_process"
"GO:0015079","potassium ion transmembrane transporter activity","molecular_function"
"GO:0071805","potassium ion transmembrane transport","biological_process"
"GO:0005774","vacuolar membrane","cellular_component"
"GO:0005802","trans-Golgi network","cellular_component"
"GO:0031902","late endosome membrane","cellular_component"
"GO:0000070","mitotic sister chromatid segregation","biological_process"
"GO:0010467","gene expression","biological_process"
"GO:0032501","multicellular organismal process","biological_process"
"GO:0034501","protein localization to kinetochore","biological_process"
"GO:0051382","kinetochore assembly","biological_process"
"GO:0090304","nucleic acid metabolic process","biological_process"
"GO:0000818","nuclear MIS12/MIND complex","cellular_component"
"GO:0008234","cysteine-type peptidase activity","molecular_function"
"GO:0000062","fatty-acyl-CoA binding","molecular_function"
"GO:0032791","lead ion binding","molecular_function"
"GO:0070300","phosphatidic acid binding","molecular_function"
"GO:0001666","response to hypoxia","biological_process"
"GO:0006629","lipid metabolic process","biological_process"
"GO:0006869","lipid transport","biological_process"
"GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","biological_process"
"GO:0006891","intra-Golgi vesicle-mediated transport","biological_process"
"GO:0009409","response to cold","biological_process"
"GO:0010260","animal organ senescence","biological_process"
"GO:0010288","response to lead ion","biological_process"
"GO:0010351","lithium ion transport","biological_process"
"GO:0016558","protein import into peroxisome matrix","biological_process"
"GO:0009514","glyoxysome","cellular_component"
"GO:0000084","mitotic S phase","biological_process"
"GO:0001833","inner cell mass cell proliferation","biological_process"
"GO:0006270","DNA replication initiation","biological_process"
"GO:1902983","DNA strand elongation involved in mitotic DNA replication","biological_process"
"GO:0000811","GINS complex","cellular_component"
"GO:0043138","3'-5' DNA helicase activity","molecular_function"
"GO:0016788","hydrolase activity, acting on ester bonds","molecular_function"
"GO:0048046","apoplast","cellular_component"
"GO:0016042","lipid catabolic process","biological_process"
"GO:0019752","carboxylic acid metabolic process","biological_process"
"GO:0042180","cellular ketone metabolic process","biological_process"
"GO:0009058","biosynthetic process","biological_process"
"GO:0005275","amine transmembrane transporter activity","molecular_function"
"GO:0015220","choline transmembrane transporter activity","molecular_function"
"GO:0022804","active transmembrane transporter activity","molecular_function"
"GO:0009524","phragmoplast","cellular_component"
"GO:0009551","secondary plasmodesma","cellular_component"
"GO:0031901","early endosome membrane","cellular_component"
"GO:0032588","trans-Golgi network membrane","cellular_component"
"GO:0097218","sieve plate","cellular_component"
"GO:0009663","plasmodesma organization","biological_process"
"GO:0010051","xylem and phloem pattern formation","biological_process"
"GO:0010067","procambium histogenesis","biological_process"
"GO:0010088","phloem development","biological_process"
"GO:0015871","choline transport","biological_process"
"GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","biological_process"
"GO:0048364","root development","biological_process"
"GO:0090603","sieve element differentiation","biological_process"
"GO:0002376","immune system process","biological_process"
"GO:0008219","cell death","biological_process"
"GO:0042221","response to chemical","biological_process"
"GO:0051707","response to other organism","biological_process"
"GO:0004620","phospholipase activity","molecular_function"
"GO:0005516","calmodulin binding","molecular_function"
"GO:0008081","phosphoric diester hydrolase activity","molecular_function"
"GO:0003684","damaged DNA binding","molecular_function"
"GO:0008094","DNA-dependent ATPase activity","molecular_function"
"GO:0030983","mismatched DNA binding","molecular_function"
"GO:0043566",NA,NA
"GO:0032300","mismatch repair complex","cellular_component"
"GO:0006298","mismatch repair","biological_process"
"GO:0006310","DNA recombination","biological_process"
"GO:0007127","meiosis I","biological_process"
"GO:0022403","cell cycle phase","biological_process"
"GO:0045005","DNA-dependent DNA replication maintenance of fidelity","biological_process"
"GO:0045910","negative regulation of DNA recombination","biological_process"
"GO:0007126",NA,NA
"GO:0034219","carbohydrate transmembrane transport","biological_process"
"GO:0051327","meiotic M phase","biological_process"
"GO:0015144","carbohydrate transmembrane transporter activity","molecular_function"
"GO:0016758","transferase activity, transferring hexosyl groups","molecular_function"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor","molecular_function"
"GO:0005730","nucleolus","cellular_component"
"GO:0005881","cytoplasmic microtubule","cellular_component"
"GO:0045177","apical part of cell","cellular_component"
"GO:0048471","perinuclear region of cytoplasm","cellular_component"
"GO:0006364","rRNA processing","biological_process"
"GO:0007420","brain development","biological_process"
"GO:0007565","female pregnancy","biological_process"
"GO:0009220","pyrimidine ribonucleotide biosynthetic process","biological_process"
"GO:0009553","embryo sac development","biological_process"
"GO:0009555","pollen development","biological_process"
"GO:0030182","neuron differentiation","biological_process"
"GO:0071222","cellular response to lipopolysaccharide","biological_process"
"GO:0071347","cellular response to interleukin-1","biological_process"
"GO:0071363","cellular response to growth factor stimulus","biological_process"
"GO:0071407","cellular response to organic cyclic compound","biological_process"
"GO:0030515","snoRNA binding","molecular_function"
"GO:0044822",NA,NA
"GO:0006289","nucleotide-excision repair","biological_process"
"GO:0006367","transcription initiation from RNA polymerase II promoter","biological_process"
"GO:0006413","translational initiation","biological_process"
"GO:0006461",NA,NA
"GO:0010605","negative regulation of macromolecule metabolic process","biological_process"
"GO:0032508","DNA duplex unwinding","biological_process"
"GO:0070816","phosphorylation of RNA polymerase II C-terminal domain","biological_process"
"GO:0000439","transcription factor TFIIH core complex","cellular_component"
"GO:0005675","transcription factor TFIIH holo complex","cellular_component"
"GO:0003690","double-stranded DNA binding","molecular_function"
"GO:0003700","DNA-binding transcription factor activity","molecular_function"
"GO:0004003",NA,NA
"GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","molecular_function"
"GO:0006811","ion transport","biological_process"
"GO:0044703","multi-organism reproductive process","biological_process"
"GO:0046786","viral replication complex formation and maintenance","biological_process"
"GO:0022857","transmembrane transporter activity","molecular_function"
"GO:0000023","maltose metabolic process","biological_process"
"GO:0016556","mRNA modification","biological_process"
"GO:0019222","regulation of metabolic process","biological_process"
"GO:0019252","starch biosynthetic process","biological_process"
"GO:0043085","positive regulation of catalytic activity","biological_process"
"GO:0080158",NA,NA
"GO:0009570","chloroplast stroma","cellular_component"
"GO:0000139","Golgi membrane","cellular_component"
"GO:0030130","clathrin coat of trans-Golgi network vesicle","cellular_component"
"GO:0030132","clathrin coat of coated pit","cellular_component"
"GO:0005198","structural molecule activity","molecular_function"
"GO:0006886","intracellular protein transport","biological_process"
"GO:0005351","carbohydrate:proton symporter activity","molecular_function"
"GO:0005354","galactose transmembrane transporter activity","molecular_function"
"GO:0005355","glucose transmembrane transporter activity","molecular_function"
"GO:0005365","myo-inositol transmembrane transporter activity","molecular_function"
"GO:0015148","D-xylose transmembrane transporter activity","molecular_function"
"GO:0015168","glycerol transmembrane transporter activity","molecular_function"
"GO:0015575","mannitol transmembrane transporter activity","molecular_function"
"GO:0015576","sorbitol transmembrane transporter activity","molecular_function"
"GO:0015591","D-ribose transmembrane transporter activity","molecular_function"
"GO:0015752","D-ribose transmembrane transport","biological_process"
"GO:0015753","D-xylose transmembrane transport","biological_process"
"GO:0015757","galactose transmembrane transport","biological_process"
"GO:0015793","glycerol transport","biological_process"
"GO:0015795","sorbitol transport","biological_process"
"GO:0015797","mannitol transport","biological_process"
"GO:0015798","myo-inositol transport","biological_process"
"GO:0015992",NA,NA
"GO:0031348","negative regulation of defense response","biological_process"
"GO:0034220","ion transmembrane transport","biological_process"
"GO:0035428",NA,NA
"GO:0043090","amino acid import","biological_process"
"GO:0046323","glucose import","biological_process"
"GO:0015758",NA,NA
"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity","molecular_function"
"GO:0005215","transporter activity","molecular_function"
"GO:0006383","transcription by RNA polymerase III","biological_process"
"GO:0006506","GPI anchor biosynthetic process","biological_process"
"GO:0055085","transmembrane transport","biological_process"
"GO:0000272","polysaccharide catabolic process","biological_process"
"GO:0006098","pentose-phosphate shunt","biological_process"
"GO:0006636","unsaturated fatty acid biosynthetic process","biological_process"
"GO:0006655","phosphatidylglycerol biosynthetic process","biological_process"
"GO:0006740","NADPH regeneration","biological_process"
"GO:0009073","aromatic amino acid family biosynthetic process","biological_process"
"GO:0009637","response to blue light","biological_process"
"GO:0009640","photomorphogenesis","biological_process"
"GO:0009647","skotomorphogenesis","biological_process"
"GO:0009664","plant-type cell wall organization","biological_process"
"GO:0009723","response to ethylene","biological_process"
"GO:0009887","animal organ morphogenesis","biological_process"
"GO:0009902","chloroplast relocation","biological_process"
"GO:0009965","leaf morphogenesis","biological_process"
"GO:0010027","thylakoid membrane organization","biological_process"
"GO:0010114","response to red light","biological_process"
"GO:0010207","photosystem II assembly","biological_process"
"GO:0010218","response to far red light","biological_process"
"GO:0015995","chlorophyll biosynthetic process","biological_process"
"GO:0016117","carotenoid biosynthetic process","biological_process"
"GO:0016138","glycoside biosynthetic process","biological_process"
"GO:0019288","isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","biological_process"
"GO:0019344","cysteine biosynthetic process","biological_process"
"GO:0019761","glucosinolate biosynthetic process","biological_process"
"GO:0030154","cell differentiation","biological_process"
"GO:0003959","NADPH dehydrogenase activity","molecular_function"
"GO:0016630","protochlorophyllide reductase activity","molecular_function"
"GO:0018548","pentaerythritol trinitrate reductase activity","molecular_function"
"GO:0052690","trichloro-p-hydroquinone reductive dehalogenase activity","molecular_function"
"GO:0009535","chloroplast thylakoid membrane","cellular_component"
"GO:0009707","chloroplast outer membrane","cellular_component"
"GO:0000162","tryptophan biosynthetic process","biological_process"
"GO:0006541","glutamine metabolic process","biological_process"
"GO:0006575","cellular modified amino acid metabolic process","biological_process"
"GO:0009617","response to bacterium","biological_process"
"GO:0009851","auxin biosynthetic process","biological_process"
"GO:0010311","lateral root formation","biological_process"
"GO:0004049","anthranilate synthase activity","molecular_function"
"GO:0005950","anthranilate synthase complex","cellular_component"
"GO:0009842","cyanelle","cellular_component"
"GO:0000159","protein phosphatase type 2A complex","cellular_component"
"GO:0005834","heterotrimeric G-protein complex","cellular_component"
"GO:0003333","amino acid transmembrane transport","biological_process"
"GO:0050790","regulation of catalytic activity","biological_process"
"GO:0003924","GTPase activity","molecular_function"
"GO:0005525","GTP binding","molecular_function"
"GO:0006793","phosphorus metabolic process","biological_process"
"GO:0006950","response to stress","biological_process"
"GO:0009888","tissue development","biological_process"
"GO:0010557","positive regulation of macromolecule biosynthetic process","biological_process"
"GO:0010646","regulation of cell communication","biological_process"
"GO:0043412","macromolecule modification","biological_process"
"GO:0048522","positive regulation of cellular process","biological_process"
"GO:0003746","translation elongation factor activity","molecular_function"
"GO:0004781","sulfate adenylyltransferase (ATP) activity","molecular_function"
"GO:0006414","translational elongation","biological_process"
"GO:0009154","purine ribonucleotide catabolic process","biological_process"
"GO:0009207","purine ribonucleoside triphosphate catabolic process","biological_process"
"GO:0032790","ribosome disassembly","biological_process"
"GO:0046039","GTP metabolic process","biological_process"
"GO:1901069","guanosine-containing compound catabolic process","biological_process"
"GO:0000166","nucleotide binding","molecular_function"
"GO:0008017","microtubule binding","molecular_function"
"GO:0005874","microtubule","cellular_component"
"GO:0008352","katanin complex","cellular_component"
"GO:0080008","Cul4-RING E3 ubiquitin ligase complex","cellular_component"
"GO:0051013","microtubule severing","biological_process"
"GO:0005622","intracellular","cellular_component"
"GO:0006807","nitrogen compound metabolic process","biological_process"
"GO:0035556","intracellular signal transduction","biological_process"
"GO:0009055","electron transfer activity","molecular_function"
"GO:0001104",NA,NA
"GO:0007268","chemical synaptic transmission","biological_process"
"GO:0019226","transmission of nerve impulse","biological_process"
"GO:0032940","secretion by cell","biological_process"
"GO:0065008","regulation of biological quality","biological_process"
"GO:0016592","mediator complex","cellular_component"
"GO:0006007","glucose catabolic process","biological_process"
"GO:0006066","alcohol metabolic process","biological_process"
"GO:0044275","cellular carbohydrate catabolic process","biological_process"
"GO:0000287","magnesium ion binding","molecular_function"
"GO:0004743","pyruvate kinase activity","molecular_function"
"GO:0016301","kinase activity","molecular_function"
"GO:0030955","potassium ion binding","molecular_function"
"GO:0006970","response to osmotic stress","biological_process"
"GO:0008152","metabolic process","biological_process"
"GO:0009863","salicylic acid mediated signaling pathway","biological_process"
"GO:0010116","positive regulation of abscisic acid biosynthetic process","biological_process"
"GO:1902074","response to salt","biological_process"
"GO:0001522","pseudouridine synthesis","biological_process"
"GO:0016125","sterol metabolic process","biological_process"
"GO:0009982","pseudouridine synthase activity","molecular_function"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","molecular_function"
"GO:0006520","cellular amino acid metabolic process","biological_process"
"GO:0006790","sulfur compound metabolic process","biological_process"
"GO:0009308","amine metabolic process","biological_process"
"GO:0044030","regulation of DNA methylation","biological_process"
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","molecular_function"
"GO:0003682","chromatin binding","molecular_function"
"GO:0009733","response to auxin","biological_process"
"GO:0009739","response to gibberellin","biological_process"
"GO:0009751","response to salicylic acid","biological_process"
"GO:0009753","response to jasmonic acid","biological_process"
"GO:0009787","regulation of abscisic acid-activated signaling pathway","biological_process"
"GO:1901001","negative regulation of response to salt stress","biological_process"
"GO:1901371","regulation of leaf morphogenesis","biological_process"
"GO:1905615","positive regulation of developmental vegetative growth","biological_process"
"GO:0044212","transcription regulatory region DNA binding","molecular_function"
"GO:0006796","phosphate-containing compound metabolic process","biological_process"
"GO:0043687","post-translational protein modification","biological_process"
"GO:0043231","intracellular membrane-bounded organelle","cellular_component"
"GO:0004791","thioredoxin-disulfide reductase activity","molecular_function"
"GO:0008047","enzyme activator activity","molecular_function"
"GO:0015035","protein disulfide oxidoreductase activity","molecular_function"
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","molecular_function"
"GO:0047134","protein-disulfide reductase activity","molecular_function"
"GO:0006662","glycerol ether metabolic process","biological_process"
"GO:0009750","response to fructose","biological_process"
"GO:0022900","electron transport chain","biological_process"
"GO:0034599","cellular response to oxidative stress","biological_process"
"GO:0045454","cell redox homeostasis","biological_process"
"GO:0009534","chloroplast thylakoid","cellular_component"
"GO:0010020","chloroplast fission","biological_process"
"GO:0009706","chloroplast inner membrane","cellular_component"
"GO:0031072","heat shock protein binding","molecular_function"
"GO:0043621","protein self-association","molecular_function"
"GO:0000966","RNA 5'-end processing","biological_process"
"GO:0006397","mRNA processing","biological_process"
"GO:0009793","embryo development ending in seed dormancy","biological_process"
"GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotransferase activity","molecular_function"
"GO:0008250","oligosaccharyltransferase complex","cellular_component"
"GO:0031090","organelle membrane","cellular_component"
"GO:0018279","protein N-linked glycosylation via asparagine","biological_process"
"GO:0022416","chaeta development","biological_process"
"GO:0035220","wing disc development","biological_process"
"GO:0044262","cellular carbohydrate metabolic process","biological_process"
"GO:0044351","macropinocytosis","biological_process"
"GO:0044723",NA,NA
"GO:0019538","protein metabolic process","biological_process"
"GO:0051179","localization","biological_process"
"GO:0008756","o-succinylbenzoate-CoA ligase activity","molecular_function"
"GO:0018858","benzoate-CoA ligase activity","molecular_function"
"GO:0005777","peroxisome","cellular_component"
"GO:0006631","fatty acid metabolic process","biological_process"
"GO:0015996","chlorophyll catabolic process","biological_process"
"GO:0010007","magnesium chelatase complex","cellular_component"
"GO:0019684","photosynthesis, light reaction","biological_process"
"GO:0034645","cellular macromolecule biosynthetic process","biological_process"
"GO:0016851","magnesium chelatase activity","molecular_function"
"GO:0016070","RNA metabolic process","biological_process"
"GO:0016236","macroautophagy","biological_process"
"GO:0044267","cellular protein metabolic process","biological_process"
"GO:0097576","vacuole fusion","biological_process"
"GO:1902589",NA,NA
"GO:0004497","monooxygenase activity","molecular_function"
